artist,asin,media,review_count,star_rating,title,year
,B08LM5SQBX,"Vinyl,MP3 Music,Audio CD",17,4.5,Äppelträdet,
Throes of Dawn,B077MPG2NQ,"Vinyl,Audio CD",17,4.5,Our Voices Shall Remain,2019
Lantlos,B005N1PUK6,"Vinyl,MP3 Music,Audio CD",17,4.5,Agape Ltd.Gatefold Inkl.Poster,2011
Stratovarius,B00004W3PC,Audio CD,17,4.5,14 Diamonds: Best of,2000
D.C. Cooper,B00004SZA6,Audio CD,10,4.7,Dc Cooper,
Will Haven,B00002DEKC,"Audio CD,MP3 Music,Vinyl",17,4.5,Whvn,1999
Magenta,B0016CPJ8O,Audio CD,26,4.4,Metamorphosis,2017
Derek Sherinian,B00008YJFI,"Audio CD,Audio CD",56,4.3,Black Utopia,2003
Melvins,B00005AG5A,"Audio CD,MP3 Music",26,4.4,Crybaby,2001
Scott Reeder,B000CCZQMI,"Audio CD,MP3 Music,Vinyl",7,4.9,TunnelVision Brilliance,2012
Dead Soul Tribe,B000063DVX,Audio CD,7,4.9,Dead Soul Tribe,2002
Royal Hunt,B001DETGOS,Audio CD,7,4.9,Paradox - Closing the Chapter,2008
Dignity,B001BP2YOS,"Audio CD,MP3 Music",7,4.9,Project Destiny,2008
Crimson Glory,B000008EOQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",25,4.4,Strange and Beautiful,1991
Redemption,B08YQCN4LS,"Audio CD,MP3 Music,Vinyl",51,4.3,This Mortal Coil,2021
Dangerous Toys,B08FTLGW4K,Vinyl,49,4.3,Greatest Tricks,2020
