artist,asin,media,review_count,star_rating,title,year,
Cemetary,B000006XIO,"Audio CD,MP3 Music",7,4.5,Sundown,1996,
Arch Enemy,B001R1DKQC,Audio CD,11,4.3,Manifesto of Arch Enemy,2009,
Novembers Doom,B00000K0KU,Audio CD,11,4.3,Sculptured Ivy & Stone Flowers,1999,
Landmine Marathon,B002CPD4W2,"Audio CD,MP3 Music",11,4.3,Rusted Eyes Awake,2009,
Abscess,B000QFAE2S,"Audio CD,MP3 Music",11,4.3,Seminal Vampires & Maggot Men,2007,
Venom,B000BLI3G6,"Audio CD,MP3 Music,Audio CD",11,4.3,MMV,2005,
Kamelot,B001AB5MNI,Audio CD,11,4.3,Fourth Legacy,2008,
Aina,B0000VB2GU,Audio CD,26,4.1,Days of Rising Doom - Limited,,
Lacrimas Profundere,B00007DX9B,"Audio CD,MP3 Music",11,4.3,Fall I Will Follow,2006,
Fear Factory,B0006A9G9A,Audio CD,4,4.9,Bite the Hand That Bleeds: & Related Archetypal,2004,
Lake Of Tears,B0000258HZ,"Audio CD,MP3 Music",4,4.9,Greater Art,2002,
Tiamat,B000005HLB,Audio CD,4,4.9,Clouds/The Sleeping Beauty,2012,
The Forsaken,B07XCQPG5P,Vinyl,4,4.9,"After The Fall (12"" Gatefold Double LP)",,
,B0047LLRNM,"MP3 Music,Audio CD",4,4.9,From The Devil's Tomb,,
Eryn Non Dae,B0026MEM40,"Audio CD,MP3 Music",4,4.9,Hydra Lernaia,2009,
Trigger the Bloodshed,B001T1CMTG,"Audio CD,MP3 Music",4,4.9,The Great Depression,2009,
A Storm of Light,B001OPUWVW,"Vinyl,MP3 Music",4,4.9,Primitive North,2009,
Fear of Eternity,B000OCY6XG,"Audio CD,MP3 Music",4,4.9,Funeral Mass,2007,
Gorelord,B000JFY0XE,"Audio CD,MP3 Music,Audio CD",4,4.9,Norwegian Chainsaw Massacre,,
Dark Funeral,B0002OOUCI,"Audio CD,MP3 Music,Audio CD",4,4.9,Devil Pigs,2004,
MacAbre,B000008UHM,Audio CD,4,4.9,Behind the Wall of Sleep,1995,
Napalm Death,B000001DCY,Audio CD,4,4.9,Burial at Sea,1992,
Kamelot,B00004XSS7,"Audio CD,MP3 Music",25,4.1,Expedition,2000,
Malevolent Creation,B0000021KF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",15,4.2,In Cold Blood,1997,
Brutal Truth,B00369K2RI,Vinyl,15,4.2,Extreme Conditions Demand Extreme Responses,2021,
Ulver,B00000B3WG,Audio CD,15,4.2,Nattens Madrigal,2011,
Coronatus,B0072M8ZIS,"Audio CD,MP3 Music,Audio CD",10,4.3,Terra Incognita,2012,
DESECRATION,B00008Y3UN,"Audio CD,MP3 Music",5,4.7,Gore and Perversion 2,2008,
Gorevent,B00GKMVO7A,Audio CD,5,4.7,Abnormal Exaggeration,2014,
Dew-Scented,B0040U8XC8,"Audio CD,MP3 Music",5,4.7,Incinerate,2010,
Withered,B000AQKYXW,"Audio CD,MP3 Music",5,4.7,MEMENTO MORI,2005,
,B0000075UC,Audio CD,5,4.7,Material Sanctuary,,
Crimson Thorn,B06XNP2GP7,"Audio CD,MP3 Music,Audio CD",5,4.7,Anthology of Brutality: 1992-2002 The Complete Collective Works (3-CD Set),2017,
Dodsferd,B000VKL0H6,"Audio CD,MP3 Music",5,4.7,Cursing Your Will to Live,2007,
Denial of God,B008B8AOOU,"Audio CD,MP3 Music",5,4.7,Death and the Beyond,2012,
Holy Moses,B001BJ83I0,Audio CD,5,4.7,Strength Power Will Passion,2010,
Trelldom,B000SO7JMK,Audio CD,5,4.7,Till Minne,2007,
Funeral Pyre,B000N3AW52,"Audio CD,MP3 Music",5,4.7,The Nature Of Betrayal,2007,
Various Artists,B000BKUX2Y,Audio CD,5,4.7,Thrasher Magazine Presents: Skate Rock 12,2005,
Blackend (Series),B000006NWK,"Audio CD,Audio CD",5,4.7,"Blackend: The Black Metal Compilation, Vol. 3",1998,
Sepultura,B000000H3K,"Audio CD,Audio, Cassette",5,4.7,Dead Embryonic Cells,1991,
Inherit Disease,B07V3TX1SF,"Audio CD,MP3 Music",5,4.7,Procreating an Apokaplypse,2006,
Strana Officina,B07TLC2H7K,"Audio CD,Audio CD",5,4.7,Strana Officina Rock N Roll Prisoners (CD),,
Beelzefuzz,B07S3NBWS3,"Audio CD,MP3 Music,Audio CD,Vinyl",5,4.7,Beelzefuzz Beelzefuzz (Digipak Cd),,
Vanhelgd,B01G890Y16,"Vinyl,MP3 Music,Audio CD",5,4.7,Temple of Phobos,2017,
Entombed,B00BXHDZI8,Audio CD,5,4.7,Wolverine Blues Redux,2013,
The Forsaken,B007OP1GD4,"Audio CD,MP3 Music",5,4.7,Beyond Redemption,", et al.",
Enemy Of The Sun,B004JKMBPE,"Audio CD,MP3 Music,Audio CD",5,4.7,Caedium,2011,
Nazxul,B002C2KAAY,"Audio CD,MP3 Music",5,4.7,Iconoclast,2009,
Total Fucking Destruction,B001GJ30QA,"Audio CD,MP3 Music",5,4.7,Peace Love & Total Fucking Destruction,2008,
Master,B001DSNFYQ,"Audio CD,MP3 Music",5,4.7,Slaves To Society,2008,
Coldworker,B0016OMG9C,"Vinyl,MP3 Music,Audio CD",5,4.7,Rotting Paradise,2008,
Shattered Realm,B000BJS8I6,"Audio CD,MP3 Music",5,4.7,From the Dead End Blocks Where Life Means Nothing,2005,
Impiety,B000A291L2,"Audio CD,MP3 Music",5,4.7,Kaos Kommand 696,2003,
Venom,B0000DETF2,"Audio CD,MP3 Music",5,4.7,Skeletons in the Closet,2006,
Mystic Circle,B0000A8UKR,Audio CD,5,4.7,Drachenblut,,
Kalmah,B00005TZAC,"Audio CD,MP3 Music",5,4.7,Swamplord,2000,
Thou Shalt Suffer,B00005M0EM,"Audio CD,MP3 Music",5,4.7,Somnium,2001,
Siebenburgen,B00005K9GC,"Audio CD,MP3 Music",5,4.7,Grimjaur,2001,
Various Artists,B000053IS0,"Vinyl,MP3 Music,Audio CD",5,4.7,Virus 100: Dead Kennedy Covers,1992,
Sentenced,B000025LH3,"Audio CD,MP3 Music",5,4.7,Love and Death,,
Unholy,B00000J7CE,"Audio CD,MP3 Music,Audio CD,Vinyl",5,4.7,Second Ring of Power,1999,
Mortification,B00133KF3A,"Audio CD,MP3 Music,Vinyl",24,4.1,Hammer Of God,2008,
Memory Garden,B00004U8DC,"Audio CD,MP3 Music,Vinyl",24,4.1,Mirage,2001,
Unleashed,B0016ORPM0,"Audio CD,MP3 Music,Vinyl",23,4.1,Hammer Battalion,2008,
Pestilence,B0000C0FIL,Audio CD,23,4.1,Consuming Impulse/Testimony Of The Ancients,2003,
Light This City,B000HIP48S,"Audio CD,MP3 Music",8,4.4,Facing the Thousand,2006,
Suicide Silence,B000HEZF2C,"Audio CD,Vinyl",14,4.2,Suicide Silence EP,2006,
Coalesce,B000006CBU,Audio CD,8,4.4,Give Them Rope She Said 2.0,2004,
High On Fire,B000AQD99I,"Audio CD,Vinyl",8,4.4,Live At The Contamination Fest,2009,
Samael,B000007P6E,Audio CD,8,4.4,Exodus,1998,
Torture Killer,B001TD6SR6,"Audio CD,MP3 Music",8,4.4,Sewers,2009,
Haunt,B07W76MC1Z,"Audio Cassette,MP3 Music,Audio CD,Vinyl",8,4.4,Haunt - Mosaic Vision (Cassette),,
Gravehill,B077XT141S,"Vinyl,MP3 Music,Audio CD",8,4.4,Severed Monolith,2018,
Eisregen,B00JPRTWY4,"Vinyl,MP3 Music,Audio CD",14,4.2,Floetenfreunde,2014,
Illdisposed,B004O0UIS6,"Audio CD,MP3 Music,Audio CD",8,4.4,To Those Who Walk Behind Us,2011,
Dismal Euphony,B0017IKQEY,Audio CD,8,4.4,All Little Devils / Python Zero,2008,
Mayhem,B000VBJJHI,"Audio CD,MP3 Music",8,4.4,We Are Going to Hell for This,2007,
Cadaveria,B000OPP75O,"Audio CD,MP3 Music",8,4.4,In Your Blood,2007,
Armageddon,B0000930CR,Audio CD,8,4.4,Crossing the Rubicon,,
Abyssos,B00000JZQI,"Audio CD,MP3 Music",8,4.4,Fhinstanian Nightbreed,2013,
Cathedral,B00000EK2G,"Audio, Cassette,Audio CD",8,4.4,Hopkins The Witchfinder General,1996,
Zonaria,B0087OVMOE,"Audio CD,MP3 Music",10,4.3,Arrival of the Red Sun,2012,
Undying,B0000508PY,"Audio CD,MP3 Music",10,4.3,Whispered Lies of Angels,2000,
Crown,B00BY7TOXM,"Audio CD,MP3 Music,Audio CD,Vinyl",10,4.3,Eternal Death,,
Astarte,B0083CZRSC,"Audio CD,MP3 Music,Audio CD",10,4.3,Sirens,2012,
Dekapitator,B000FCGN9K,"Vinyl,MP3 Music,Audio CD",10,4.3,We Will Destroy... You Will Obey,1999,
Dimmu Borgir,B00006310I,"Audio CD,MP3 Music,Vinyl",51,4,Stormblast,2012,
Unleashed,B000AAVFVI,"Audio CD,MP3 Music,Vinyl",21,4.1,Sworn Allegiance,2013,
Thy Will Be Done,B002MR90AA,Audio CD,13,4.2,In Ancient of Days,2009,
Sinister,B00GJQ4SVG,"Audio CD,MP3 Music,Vinyl",13,4.2,Legacy of Ashes,2013,
Tiamat,B0000074H4,"Audio CD,MP3 Music,Vinyl",13,4.2,Gaia,,
The Number Twelve Looks Like You,B000VFGRYM,"Vinyl,MP3 Music,Audio CD",20,4.1,NUCLEAR SAD NUCLEAR,2007,
MacAbre,B003QCIJZC,"Audio CD,MP3 Music,Audio CD,Vinyl",20,4.1,Gloom,2010,
Otep,B00005MLTU,"Audio CD,MP3 Music",43,4,Jihad,2001,
Godflesh,B00000J5YP,"Audio CD,MP3 Music,Vinyl",19,4.1,Us & Them,1999,
