artist,asin,media,review_count,star_rating,title,year
AC/DC,B0000CDLKW,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2645,4.8,Let There Be Rock,2009
Impending Doom,B00CP4RZRA,"Audio CD,MP3 Music",70,4.9,Death Will Reign,2013
Moon Hooch,B00CDUVEI2,"Audio CD,MP3 Music",70,4.9,Moon Hooch,2013
Ratt,B000008JT4,"Audio CD,Vinyl,Audio, Cassette",70,4.9,Ratt,
System of a Down,B000683IMI,"Audio CD,MP3 Music,Vinyl",2640,4.8,Mezmerize,2010
AC/DC,B0000CDLKV,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2552,4.8,Dirty Deeds Done Dirt Cheap,2009
Bring Me the Horizon,B012BCLPB2,"Vinyl,MP3 Music,Audio CD",2520,4.8,That's the Spirit,2015
Iron Maiden,B00LD22MM8,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2464,4.8,The Number of the Beast,2014
Queen,B00TPEDN9M,"Vinyl,MP3 Music,Audio CD,Audio DVD,Audio, Cassette",2535,4.8,Night at the Opera,2015
Judas Priest,B075L579FY,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2464,4.8,Painkiller,2017
Slipknot,B00005A46T,"Audio CD,MP3 Music,Vinyl",2452,4.8,Iowa,2001
Korn,B00M0CVYCY,"Vinyl,Audio CD,Audio, Cassette",2403,4.8,Korn,2014
Iron Maiden,B00MG4CVJ6,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2426,4.8,Piece of Mind,2014
Deftones,B003VPC72K,"Vinyl,MP3 Music,Audio CD",2317,4.8,White Pony,2010
Ozzy Osbourne,B00MBIEJXS,"Vinyl,MP3 Music,Audio CD",2304,4.8,Memoirs of a Madman,2014
Judas Priest,B00005K9LN,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2335,4.8,British Steel,2001
Def Leppard,B000001EHS,"Audio CD,Vinyl,Audio, Cassette",2368,4.8,Vault: Def Leppard Greatest Hits,1995
Slipknot,B0001NBMBC,"Audio CD,MP3 Music,Vinyl",2305,4.8,Vol. 3: The Subliminal Verses,2004
AC/DC,B0000CDLL0,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2369,4.8,Powerage,2009
Van Halen,B000286S8S,"Audio CD,Audio CD",2225,4.8,Van Halen Best Of Both Worlds,2004
Rage Against The Machine,B00002MZ2C,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2237,4.8,The Battle of Los Angeles,1999
Led Zeppelin,B000002JSJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2272,4.8,Presence,1976
Metallica,B00ETPLQ6O,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2225,4.8,Reload,2013
Black Sabbath,B00WWK48RW,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",2215,4.8,Sabbath Bloody Sabbath,2015
Van Halen,B000002NAA,"Audio CD,MP3 Music,Audio, Cassette",2200,4.8,Best of Volume 1,1996
