artist,asin,media,review_count,star_rating,title,year
Ruins,B0014XEB0C,Audio CD,1,5,Ruins,
Arv,B0013N2W04,"Audio CD,MP3 Music",1,5,I.D,2011
Azaghal,B0013A0EXE,Audio CD,1,5,Helvetin Phdeksan Piiria,2008
Robert Rich,B0012SJ67W,"Audio CD,MP3 Music",1,5,Fahrenheit Project: Part Two,", et al."
LEVIATHAN,B0012FEDCI,Vinyl,1,5,The Speed of Darkness (Vinyl),
Order From Chaos,B0011CXCYC,Audio CD,1,5,Dawn Bringer,1995
Wedard,B000WQ53ZE,"Audio CD,MP3 Music",1,5,Einsamer Winterweg,
Moonspell,B000VCZ88Q,"Audio CD,MP3 Music,Audio CD,Vinyl",1,5,Opium,1996
Unholy,B000UBUUWW,Audio CD,1,5,From the Shadow,1993
Ceremonial Castings,B000RRI7N8,Audio CD,1,5,Barbaric is the Beast,
Perpetual,B000Q0AJ4G,Audio CD,1,5,Ad perpetuam rei memoriam,1998
Abominator,B000N9E5GS,"Audio CD,Audio CD",1,5,The Eternal Conflagration,
Hate,B000N83D6C,Audio CD,1,5,Lord Is Avenger,
Salacious Gods,B000KD1AXI,"Audio CD,Audio CD",1,5,Sunnevot,2002
BLACK CRICIFIXION,B000IJHDSK,"Audio CD,Vinyl",1,5,Faustian Dream,2006
Le Tigre,B000GW8BFI,Audio CD,1,5,11 Year Anniversry Album,2011
Artefact,B000FORBOY,Audio CD,1,5,Son Of Solstice,
Dark Funeral,B000FNERVA,Audio CD,1,5,Dark Funeral,1994
Acheron,B000FJTP3O,Audio CD,1,5,Xomaly,2002
Number One Gun,B000EVI56G,Audio CD,1,5,The Buzz,", et al."
Belenos,B000EHSCT0,"Audio CD,MP3 Music",1,5,Chants De Bataille,2006
Wrath,B000AYQEC4,Audio CD,1,5,Viking,2005
Venom,B0009PVZEQ,"Audio CD,MP3 Music",1,5,Choose Your Poison,2005
Noctuary,B0009EUFOS,"Audio CD,MP3 Music",1,5,For Salvation...,1998
Moonspell,B0007KXIUW,"Audio CD,Audio, Cassette",1,5,2econd Skin,
